pixel_id,district,lon,lat,x_utm50n_m,y_utm50n_m,rad_2013,rad_2014,rad_2015,rad_2016,rad_2017,rad_2018,rad_2019,rad_2020,rad_2021,rad_2022,rad_2023,rad_2024,mean_rad_2013_2024,median_rad_2013_2024,std_rad_2013_2024,min_rad_2013_2024,max_rad_2013_2024,range_rad_2013_2024,cv_rad_2013_2024,change_2024_minus_2013,growth_rate_2024_vs_2013,trend_slope_rad_per_year,z_mean_rad_2013_2024,z_std_rad_2013_2024,z_range_rad_2013_2024,z_cv_rad_2013_2024,z_change_2024_minus_2013,z_growth_rate_2024_vs_2013,z_trend_slope_rad_per_year
同安区_117.926426_24.878336,同安区,117.92642643309958,24.878336267691004,593579.9225131806,2751794.501744742,0.0,0.0,0.0,0.0,0.0,0.42907545,0.40351716,0.5070925,0.5752158,0.5291568,0.63059896,0.0,0.25622138916666665,0.20175858,0.2738309074252049,0.0,0.63059896,0.63059896,1.0687277448452346,0.0,0.0,0.04808142115384299,-0.8446330853314132,-0.7517681655392897,-0.7842300295248041,1.1373006493744449,-0.5830176508243161,-0.17426996348036905,-0.5847737285986538
同安区_117.930918_24.86037,同安区,117.93091800952018,24.86036996200862,594047.2457228985,2749808.07638225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55480516,0.56542516,0.5921546,0.6133114,0.19380802666666666,0.0,0.28660611336334096,0.0,0.6133114,0.6133114,1.4788144654931095,0.6133114,613.3113999999999,0.06576160391608013,-0.8484677986652914,-0.7493042778415009,-0.7853821062281703,1.960610201413536,-0.533054775327986,0.10509813722507957,-0.5708596271244725
同安区_117.930918_24.864862,同安区,117.93091800952018,24.864861538429217,594043.8477225221,2750305.4558190205,0.0,0.0,0.0,0.0,0.0,0.9131056,1.3009202,0.7982693,1.8752258,1.5588471,1.0502747,0.77363014,0.6891894033333333,0.78594972,0.6816864979245476,0.0,1.8752258,1.8752258,0.9891134347503064,0.77363014,773.63014,0.14347232531467755,-0.818031278433609,-0.6731071735543442,-0.7012856703006934,0.9774631840778318,-0.5199945497291326,0.17812456703103238,-0.5097021788269696
同安区_117.930918_24.869353,同安区,117.93091800952018,24.86935311484981,594040.4491453213,2750802.8355469853,0.0,0.0,0.0,0.0,0.0,1.5810808,1.5995299,1.0902371,2.6334677,1.7975203,1.245507,0.9830524,0.9108662666666668,1.03664475,0.9032623763776778,0.0,2.6334677,2.6334677,0.9916520233899806,0.9830524,983.0524,0.17853944195803162,-0.8044113228730251,-0.6303729833040159,-0.6507549517663156,0.9825597750438589,-0.5029341489237015,0.2735180311369379,-0.4821047593916491
同安区_117.930918_24.873845,同安区,117.93091800952018,24.873844691270413,594037.049991316,2751300.215566186,0.0,0.0,0.0,0.0,0.0,0.7794245,0.8196534,0.82185644,1.3871343,0.79721946,0.75924665,0.7728335,0.5114473541666665,0.766040075,0.4814059929178973,0.0,1.3871343,1.3871343,0.9412620653836062,0.7728335,772.8335,0.10614123877621777,-0.8289518534295522,-0.7117342355979975,-0.7338130394760481,0.881394505200558,-0.5200594473082994,0.1777616913307829,-0.5390813166573214
同安区_117.93541_24.855878,同安区,117.9354095859408,24.85587838558802,594504.4532874702,2749313.8042720826,0.0,0.0,0.0,0.0,0.0,0.0,0.57028854,0.60609,0.99857396,1.0136563,1.2404903,1.1242794,0.4627815416666667,0.28514427,0.5178664662075309,0.0,1.2404903,1.2404903,1.119030081326236,1.1242794,1124.2794000000001,0.13289688300698624,-0.8319419092865454,-0.7047022932536696,-0.7435856815428546,1.2382900060872504,-0.49142921518576643,0.3378480252611763,-0.5180249308811994
同安区_117.93541_24.86037,同安区,117.9354095859408,24.86036996200862,594501.0394659613,2749811.183831183,0.0,0.0,0.0,0.09588697,0.0,0.0,0.5195539,0.511603,0.9040817,0.82259077,0.9140461,0.83369046,0.38345440833333333,0.303744985,0.4046277916544913,0.0,0.9140461,0.9140461,1.0552174726930044,0.83369046,833.69046,0.10227441223775721,-0.8368158145489267,-0.7265420489880386,-0.7653405594879802,1.1101767861681309,-0.5151017884166416,0.20548250873268914,-0.5421244648850713
同安区_117.93541_24.864862,同安区,117.9354095859408,24.864861538429217,594497.6250648244,2750308.563681363,0.0,0.0,0.0,0.0,0.0,0.61477005,0.73894614,0.67533207,0.8829974,0.9122828,0.80556065,0.6934981,0.44361560083333335,0.6450510599999999,0.40003764509792045,0.0,0.9122828,0.9122828,0.9017664039462283,0.6934981,693.4981,0.09730651695803706,-0.8331194758512359,-0.7274273267429766,-0.7654580692378261,0.8021011418989542,-0.5265224361140701,0.14162380115507928,-0.5460341416098377
同安区_117.939901_24.846895,同安区,117.93990116236134,24.846895232746824,594965.1224985361,2748322.167191557,0.0,0.0,0.0,0.0,0.0,0.0,0.54707646,0.52456295,0.91954726,0.8789106,0.78497,0.73463863,0.36580882499999995,0.262281475,0.398016514958683,0.0,0.91954726,0.91954726,1.0880451420456656,0.73463863,734.6386299999999,0.09796024734265238,-0.8378999694635476,-0.7278171316283,-0.7649739514601562,1.176083172277215,-0.5231709589064998,0.16036363173399157,-0.5455196632794596
同安区_117.939901_24.851387,同安区,117.93990116236134,24.851386809167423,594961.6934438506,2748819.546584243,0.0,0.0,0.0,0.0,0.0,0.74362963,1.1632327,1.0758303,2.5948267,2.2552953,2.1295576,1.8835732,0.9871621191666667,0.909729965,1.0122874028591613,0.0,2.5948267,2.5948267,1.0254520338702873,1.8835732,1883.5732,0.2527748887062798,-0.7997236612700894,-0.6093458920148693,-0.6533300633433557,1.0504182793219152,-0.4295740114596732,0.6837122416827571,-0.4236823124674856
